destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y
No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),24,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,0,0,0,1,1
No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),24,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,1,0,0,1,1
No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,1,0,0,1,1
Home,Alone,Sunny,55,6PM,Bar,24,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,0,0,1,0,1
Home,Alone,Sunny,55,6PM,Restaurant(20-50),24,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,1,0,0,1,1
Home,Alone,Sunny,80,6PM,Coffee House,2,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,0,0,0,1,0
Work,Alone,Sunny,55,7AM,Coffee House,2,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,1,1,0,1,1
Work,Alone,Sunny,55,7AM,Bar,24,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,1,1,0,1,0
Work,Alone,Sunny,80,7AM,Restaurant(20-50),24,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,1,0,0,1,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,0,0,1,0,1
Work,Alone,Sunny,55,7AM,Restaurant(<20),24,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,0,0,0,1,0
Work,Alone,Sunny,55,7AM,Coffee House,2,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,between 1 to 3,between 4 to 8,between 1 to 3,1,1,0,0,1,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),24,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,0,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,24,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,1,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,24,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,0,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,1,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,24,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,1,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),24,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,0,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,0,0,0,1,0
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,24,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,1,0,0,1,1
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,0,0,0,1,0
Home,Alone,Sunny,55,6PM,Bar,24,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,0,0,1,0,1
Home,Alone,Sunny,55,6PM,Restaurant(20-50),24,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,1,0,0,1,0
Home,Alone,Sunny,80,6PM,Coffee House,2,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,0,0,0,1,0
Work,Alone,Sunny,55,7AM,Coffee House,2,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,1,1,0,1,0
Work,Alone,Sunny,55,7AM,Bar,24,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,1,1,0,1,1
Work,Alone,Sunny,80,7AM,Restaurant(20-50),24,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,1,0,0,1,0
Work,Alone,Sunny,80,7AM,Carry out & Take away,2,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,0,0,1,0,1
Work,Alone,Sunny,55,7AM,Restaurant(<20),24,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,0,0,0,1,1
Work,Alone,Sunny,55,7AM,Coffee House,2,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less than 1,between 4 to 8,between 4 to 8,less than 1,1,1,0,0,1,0
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),24,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,24,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,0,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,24,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,24,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,1,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),24,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,0,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,24,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,1,0,0,1,1
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,0,0,0,1,1
Home,Alone,Sunny,55,6PM,Bar,24,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,0,0,1,0,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),24,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,1,0,0,1,0
Home,Alone,Sunny,80,6PM,Coffee House,2,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,0,0,0,1,0
Work,Alone,Sunny,55,7AM,Coffee House,2,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,1,1,0,1,0
Work,Alone,Sunny,55,7AM,Bar,24,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,1,1,0,1,0
Work,Alone,Sunny,80,7AM,Restaurant(20-50),24,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,1,0,0,1,0
Work,Alone,Sunny,80,7AM,Carry out & Take away,2,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,0,0,1,0,1
Work,Alone,Sunny,55,7AM,Restaurant(<20),24,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,0,0,0,1,0
Work,Alone,Sunny,55,7AM,Coffee House,2,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,between 4 to 8,between 1 to 3,between 1 to 3,never,1,1,0,0,1,0
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),24,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,24,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,24,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,1,0,0,1,1
No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,1,0,0,1,1
No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,1,0,0,1,1
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,24,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,1,0,0,1,1
No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),24,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,0,0,0,1,1
No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),24,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,1,0,0,1,1
No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,1,0,0,1,0
Home,Alone,Sunny,55,6PM,Bar,24,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,0,0,1,0,1
Home,Alone,Sunny,55,6PM,Restaurant(20-50),24,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,1,0,0,1,0
Home,Alone,Sunny,80,6PM,Coffee House,2,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,0,0,0,1,1
Work,Alone,Sunny,55,7AM,Coffee House,2,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,1,1,0,1,0
Work,Alone,Sunny,55,7AM,Bar,24,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,1,1,0,1,1
Work,Alone,Sunny,80,7AM,Restaurant(20-50),24,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,1,0,0,1,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,0,0,1,0,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),24,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,0,0,0,1,1
Work,Alone,Sunny,55,7AM,Coffee House,2,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less than 1,between 1 to 3,between 1 to 3,between 1 to 3,less than 1,1,1,0,0,1,0
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),24,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,0,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,24,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,24,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,24,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),24,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,24,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,1,0,0,1,1
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,0,0,0,1,1
Home,Alone,Sunny,55,6PM,Bar,24,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,0,0,1,0,1
Home,Alone,Sunny,55,6PM,Restaurant(20-50),24,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,1,0,0,1,1
Home,Alone,Sunny,80,6PM,Coffee House,2,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,0,0,0,1,1
Work,Alone,Sunny,55,7AM,Coffee House,2,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,1,1,0,1,1
Work,Alone,Sunny,55,7AM,Bar,24,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,1,1,0,1,0
Work,Alone,Sunny,80,7AM,Restaurant(20-50),24,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,1,0,0,1,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,0,0,1,0,1
Work,Alone,Sunny,55,7AM,Restaurant(<20),24,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,0,0,0,1,1
Work,Alone,Sunny,55,7AM,Coffee House,2,Male,21,Single,0,Associates degree,Student,$12500 - $24999,between 1 to 3,less than 1,between 1 to 3,less than 1,between 1 to 3,1,1,0,0,1,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),24,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,between 1 to 3,greater than 8,between 4 to 8,between 1 to 3,less than 1,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,between 1 to 3,greater than 8,between 4 to 8,between 1 to 3,less than 1,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,24,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,between 1 to 3,greater than 8,between 4 to 8,between 1 to 3,less than 1,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,between 1 to 3,greater than 8,between 4 to 8,between 1 to 3,less than 1,1,1,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,24,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,between 1 to 3,greater than 8,between 4 to 8,between 1 to 3,less than 1,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,between 1 to 3,greater than 8,between 4 to 8,between 1 to 3,less than 1,1,1,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,24,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,between 1 to 3,greater than 8,between 4 to 8,between 1 to 3,less than 1,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),24,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,between 1 to 3,greater than 8,between 4 to 8,between 1 to 3,less than 1,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,between 1 to 3,greater than 8,between 4 to 8,between 1 to 3,less than 1,1,0,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,between 1 to 3,greater than 8,between 4 to 8,between 1 to 3,less than 1,1,1,0,0,1,0
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,between 1 to 3,greater than 8,between 4 to 8,between 1 to 3,less than 1,1,0,0,0,1,0
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,24,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,between 1 to 3,greater than 8,between 4 to 8,between 1 to 3,less than 1,1,1,0,0,1,1
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,between 1 to 3,greater than 8,between 4 to 8,between 1 to 3,less than 1,1,0,0,0,1,0
Home,Alone,Sunny,55,6PM,Bar,24,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,between 1 to 3,greater than 8,between 4 to 8,between 1 to 3,less than 1,1,0,0,1,0,1
Home,Alone,Sunny,55,6PM,Restaurant(20-50),24,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,between 1 to 3,greater than 8,between 4 to 8,between 1 to 3,less than 1,1,1,0,0,1,0
Home,Alone,Sunny,80,6PM,Coffee House,2,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,between 1 to 3,greater than 8,between 4 to 8,between 1 to 3,less than 1,1,0,0,0,1,0
